Contenido,Autor,User_Name,Fecha_Posteo,Favs,Rt,Localizacion,compound,pos_score,neg_score,neu_score,Tipo_Sentimiento
 EssenceFest  Throwback Comedy Icons DickGregory PaulMooney Talk Post Racial America Obama More WATCH the …,Kenneth T Whalum Jr.,kwhalum,Fri Jun 25 00:41:49 +0000 2021,0,6,"ÜT: 35.085686,-89.894912",0.3612,0.128,0.0,0.872,POSITIVO
 EssenceFest  Throwback Comedy Icons DickGregory PaulMooney Talk Post Racial America Obama More WATCH the …,Marsh Hadden,Bass32Man1,Fri Jun 25 00:41:00 +0000 2021,0,6,"Hempstead, NY",0.3612,0.128,0.0,0.872,POSITIVO
 EssenceFest Throwback   Almost Turned The Festival Out ️ WATCH the  ESSENCE Fes…,Algierslady,AlgiersLady,Fri Jun 25 00:38:09 +0000 2021,0,3,"Algiers,  LA ",0.4472,0.155,0.0,0.845,POSITIVO
 EssenceFest  Throwback Comedy Icons DickGregory PaulMooney Talk Post Racial America Obama More WATCH the …,Lost Edges of Candace,nching0,Fri Jun 25 00:38:00 +0000 2021,0,6,looking for Candace's edges,0.3612,0.128,0.0,0.872,POSITIVO
EssenceFest  Throwback Comedy Icons DickGregory PaulMooney Talk Post Racial America Obama More WATCH the  ESSENCE Festival of Culture “Live Loud” Virtual Experience on  June  and July  Coke cocacola BlackLove blackexcellence ,rolandsmartin,rolandsmartin,Fri Jun 25 00:37:22 +0000 2021,17,6,"Washington, D.C.",0.6908,0.144,0.0,0.856,POSITIVO
 Check out Vtg  Coca Cola Serving Tray Flapper Girl  Coke Advertisement  x    via …,Jellybeans Closet 4U,JellybeansClos1,Fri Jun 25 00:36:07 +0000 2021,0,16,"Pennsylvania, USA",0.0,0.0,0.0,1.0,NEUTRO
 EssenceFest Throwback   Mix It Up At Essence ️ WATCH the  ESSENCE Festival of Cultu…,KiddaWolf - 4 monthly,kiddawolf94,Fri Jun 25 00:34:13 +0000 2021,0,1,"Glasgow, Scotland",0.4939,0.151,0.0,0.849,POSITIVO
EssenceFest Throwback   Mix It Up At Essence ️ WATCH the  ESSENCE Festival of Culture “Live Loud” Virtual Experience on  June  and July  Essence Coke cocacola BlackLove blackexcellence ,rolandsmartin,rolandsmartin,Fri Jun 25 00:34:03 +0000 2021,6,1,"Washington, D.C.",0.4939,0.088,0.0,0.912,POSITIVO
EssenceFest Throwback   Almost Turned The Festival Out ️ WATCH the  ESSENCE Festival of Culture “Live Loud” Virtual Experience on  June  and July  Essence Coke cocacola BlackLove blackexcellence ,rolandsmartin,rolandsmartin,Fri Jun 25 00:27:46 +0000 2021,4,3,"Washington, D.C.",0.7071,0.155,0.0,0.845,POSITIVO
" 
  
s summer vacation Full of fresh charm year ago       ️   박보검 ParkBoGum パクボゴム 
朴寶劍 พัคโบกอม CocaCola
WeWillWaitBogum pbgfam  ", ParkBoGum FAMILY  D-309,parkbogumfamiIy,Fri Jun 25 00:23:39 +0000 2021,5,1,Pearl of the Orient  Seas ,0.3182,0.095,0.0,0.905,POSITIVO
"ShoutOut Anomaly Thursday
Can I Renee Ashley Baker get a Corporate Sponsor  Can one Corporation  please Step Forward  CocaCola 
HowardHughesCorporation 
NeimanMarcus  PostToasties AP Reuters NYTimes WashPost HuffPost WSJ abcnews   ",Renee Ashley Baker,ReneeEurope,Fri Jun 25 00:20:49 +0000 2021,0,0,Paris France,0.6293,0.125,0.0,0.875,POSITIVO
Im out of cola what do I do now  sponsor me cola coke CocaCola sad empty,mariewongg,mariewongg,Fri Jun 25 00:20:41 +0000 2021,2,0,She/Her,0.0,0.0,0.0,1.0,NEUTRO
 Massive consumer goods companies like CocaCola nestle and Pepsi must reject unnecessary throwaway plastics these co…,SuzanneJones,Suzanne89571041,Fri Jun 25 00:19:56 +0000 2021,0,70,,-0.0516,0.118,0.127,0.755,NEGATIVO
ntd A group of CocaCola shareholders is threatening legal action over the company’s diversity policy They say the policy might…,  ,hitta_that,Fri Jun 25 00:16:27 +0000 2021,0,12,,-0.4404,0.066,0.148,0.786,NEGATIVO
 Here’s a new flyer design I made cocacola coke branding DigitalMarketing    …,Devmax,Chidux15,Thu Jun 24 23:53:06 +0000 2021,0,1,Nigeria,0.0,0.0,0.0,1.0,NEUTRO
 Coca Cola th Anniversary Belt Buckle  via FreeShipping On All Items Store WideCoke Coc…,KnotSimpleBoutique,KnotSimple,Thu Jun 24 23:52:29 +0000 2021,0,1,"Raleigh, NC",0.0,0.0,0.0,1.0,NEUTRO
ntd A group of CocaCola shareholders is threatening legal action over the company’s diversity policy They say the policy might…,Independent Lawyer,AttorneyMcGill,Thu Jun 24 23:41:44 +0000 2021,0,12,East Coast,-0.4404,0.066,0.148,0.786,NEGATIVO
ntd A group of CocaCola shareholders is threatening legal action over the company’s diversity policy They say the policy might…,JohnARead,JohnARead,Thu Jun 24 23:36:35 +0000 2021,0,12,England,-0.4404,0.066,0.148,0.786,NEGATIVO
ntd A group of CocaCola shareholders is threatening legal action over the company’s diversity policy They say the policy might…,indigoctarine,indigoctarine,Thu Jun 24 23:35:23 +0000 2021,0,12,Across the Twitterverse,-0.4404,0.066,0.148,0.786,NEGATIVO
ntd A group of CocaCola shareholders is threatening legal action over the company’s diversity policy They say the policy might…,Catherine McBride,CeeMacBee,Thu Jun 24 23:33:10 +0000 2021,0,12,"London, England",-0.4404,0.066,0.148,0.786,NEGATIVO
